Category,Item,Qty,UnitPriceINR_Low,UnitPriceINR_High,Supplier,LeadTimeDays
Structural,PETG filament (kg),1.5,900,1200,Local 3D-print store / Amazon India,1-3
Actuators,DS3225 servo,8,1200,1800,Robu.in / Robokits India,2-5
Mechanical Hardware,5mm ID flanged ball bearing,8,40,60,Robu.in,2-4
Mechanical Hardware,M3 screws + nuts (assorted set),1,150,250,Local hardware store / Robu.in,1-2
Mechanical Hardware,M3 heat-set threaded inserts,20,8,12,Robu.in / Amazon India,2-4
Mechanical Hardware,Servo extension lead,8,15,20,Robu.in / Amazon India,2-4
Mechanical Hardware,Rubber/TPU foot pad,4,25,25,Local / Robu.in,1-2
Telemetry,AS5600 magnetic encoder,8,150,250,Robu.in / Amazon India,2-5
Telemetry,Thermistor (NTC),4,40,80,Robu.in,2-4
Telemetry,FSR foot contact sensor,4,80,150,Robu.in / Amazon India,2-5
Telemetry,IMU module (MPU6050/MPU9250 class),1,150,400,Robu.in,2-4
Power,2S LiPo battery,1,600,900,Robu.in,2-4
Electronics,Driver/microcontroller stack (ESP32 + PCA9685) - placeholder,1,650,1000,Robu.in / Robokits India,2-5
